X,Y,Z,MINED,cu_bh_nn,cu_50,domain
7.5,782.5,412.5,4,0.568,0.489,2310
7.5,807.5,412.5,4,0.425,0.489,2310
7.5,832.5,362.5,5,0.565,0.616,2310
7.5,832.5,412.5,4,0.454,0.508,2310
7.5,857.5,362.5,5,0.565,0.616,2310
7.5,857.5,412.5,4,0.47,0.508,2310
7.5,882.5,362.5,5,0.532,0.625,2310
7.5,882.5,412.5,4,0.457,0.575,2310
32.5,757.5,412.5,4,0.549,0.528,2310
32.5,782.5,412.5,4,0.564,0.547,2310
32.5,807.5,412.5,4,0.427,0.547,2310
32.5,832.5,362.5,5,0.598,0.634,2310
32.5,832.5,412.5,4,0.463,0.592,2310
32.5,857.5,362.5,5,0.487,0.634,2310
32.5,857.5,412.5,4,0.469,0.592,2310
32.5,882.5,362.5,5,0.641,0.649,2310
57.5,732.5,412.5,4,0.605,0.528,2310
57.5,757.5,412.5,4,0.577,0.528,2310
57.5,782.5,412.5,4,0.67,0.547,2310
57.5,807.5,362.5,5,0.43,0.664,2310
57.5,807.5,412.5,4,0.489,0.547,2310
57.5,832.5,362.5,5,0.598,0.634,2310
57.5,832.5,412.5,4,0.489,0.592,2310
57.5,857.5,362.5,5,0.565,0.634,2310
57.5,882.5,312.5,6,0.731,0.721,2310
57.5,882.5,362.5,5,0.617,0.649,2310
82.5,707.5,412.5,4,0.587,0.546,2310
82.5,732.5,412.5,4,0.644,0.578,2310
82.5,757.5,412.5,4,0.491,0.578,2310
82.5,782.5,362.5,5,0.43,0.673,2310
82.5,782.5,412.5,4,0.538,0.621,2310
82.5,807.5,362.5,5,0.43,0.673,2310
82.5,807.5,412.5,4,0.538,0.621,2310
82.5,832.5,362.5,5,0.502,0.657,2310
82.5,857.5,362.5,5,0.486,0.657,2310
82.5,882.5,312.5,6,0.731,0.739,2310
82.5,882.5,362.5,5,0.606,0.684,2310
107.5,607.5,462.5,3,0.391,0.564,2210
107.5,682.5,412.5,4,0.548,0.546,2310
107.5,707.5,412.5,4,0.432,0.546,2310
107.5,732.5,412.5,4,0.655,0.578,2310
107.5,757.5,362.5,5,0.669,0.688,2310
107.5,757.5,412.5,4,0.672,0.578,2310
107.5,782.5,362.5,5,0.669,0.673,2310
107.5,782.5,412.5,4,0.538,0.621,2310
107.5,807.5,362.5,5,0.565,0.673,2310
107.5,807.5,412.5,4,0.705,0.621,2310
107.5,832.5,362.5,5,0.471,0.657,2310
107.5,857.5,312.5,6,0.646,0.741,2310
107.5,857.5,362.5,5,0.598,0.657,2310
107.5,882.5,312.5,6,0.646,0.739,2310
107.5,882.5,362.5,5,0.593,0.684,2310
132.5,582.5,462.5,3,0.517,0.471,2210
132.5,607.5,462.5,3,0.437,0.471,2210
132.5,682.5,412.5,4,0.706,0.556,2310
132.5,707.5,412.5,4,0.554,0.556,2310
132.5,732.5,362.5,5,0.703,0.666,2310
132.5,732.5,412.5,4,0.628,0.599,2310
132.5,757.5,362.5,5,0.703,0.666,2310
132.5,757.5,412.5,4,0.561,0.599,2310
132.5,782.5,362.5,5,0.55,0.67,2310
132.5,782.5,412.5,4,0.561,0.6,2310
132.5,807.5,362.5,5,0.509,0.67,2310
132.5,832.5,312.5,6,0.518,0.761,2310
132.5,832.5,362.5,5,0.397,0.639,2310
132.5,857.5,312.5,6,0.518,0.761,2310
132.5,857.5,362.5,5,0.471,0.639,2310
132.5,882.5,312.5,6,0.503,0.724,2310
132.5,882.5,362.5,1,0.791,0.722,2310
157.5,657.5,412.5,4,0.531,0.556,2310
157.5,682.5,412.5,4,0.482,0.556,2310
157.5,707.5,412.5,4,0.571,0.556,2310
157.5,732.5,362.5,5,0.745,0.666,2310
157.5,732.5,412.5,4,0.549,0.599,2310
157.5,757.5,362.5,5,0.883,0.666,2310
157.5,757.5,412.5,4,0.549,0.599,2310
157.5,782.5,362.5,5,0.502,0.67,2310
157.5,807.5,312.5,6,0.494,0.763,2310
157.5,807.5,362.5,5,0.544,0.67,2310
157.5,832.5,312.5,6,0.494,0.761,2310
